place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email,instagram,twitter
,Triad Advertising,,,Creative Agency,"45/6 Alwis Place, Colombo 03",,www.triad.lk,,,
,JWT Colombo (VML),,,Creative Agency,"2nd Floor, 26B Alwis Place, Colombo 3",,www.jwt.com/en/srilanka,,,
,Antyra Solutions,,,Digital Marketing Agency,"#46/1/1 Koswatta Road, Nawala, Colombo",,www.antyrasolutions.com,,https://www.instagram.com/antyra.agency/,
,Ogilvy Sri Lanka,,,Creative Agency,"85/7 Barnes Place, Colombo 07",,ogilvy.lk,,,
,Mint Media,,,Digital Marketing Agency,"202 Galle Road, Dehiwala",,mintmedia.lk,,https://www.instagram.com/mintmedia.lk/,
