place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email,instagram,twitter
https://www.google.com/maps/place/Febest+Auto+Parts+Sri+Lanka/data=!4m7!3m6!1s0x3ae25906e5692a67:0xfd21ada99fd6e5d1!8m2!3d6.9334471!4d79.8660046!16s%2Fg%2F11kc8m8kdn!19sChIJZypp5QZZ4joR0eXWn6mtIf0?authuser=0&hl=en&rclk=1,Febest Auto Parts Sri Lanka,5.0,(9),Renault dealer,216 Panchikawatta Rd,,https://lh3.googleusercontent.com/p/AF1QipPqXH4f-PjScG0V7JVn10kBMaAvYnJT2U6CZG4r=w122-h92-k-no,,,
https://www.google.com/maps/place/Ranindra+Motors/data=!4m7!3m6!1s0x3ae25904f9399f6f:0xb080d2c43b9c83a2!8m2!3d6.9327555!4d79.8653378!16s%2Fg%2F11j1hxz5wk!19sChIJb585-QRZ4joRooOcO8TSgLA?authuser=0&hl=en&rclk=1,Ranindra Motors,4.0,(15),Auto parts store,"no 199, 1, 1 Panchikawatta Rd",077 725 2435,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyNuE-L0p2n5vy0Xls3wTozjCUTxCYt2v3zLmVDyAZUSmz3FklJ-Lt6346IDhM3md3HJBoO1ENw66gMnUbeOakIW-xQylFlVgU7EmwWhS7unl66iyeC77EdsTWtfyYRVPWKyOcLEQ=w122-h92-k-no,,,
https://www.google.com/maps/place/Wickrama+Motors+%28Pvt%29+Ltd./data=!4m7!3m6!1s0x3ae25904f9f4abd5:0x899b16600a5ef2f8!8m2!3d6.9335777!4d79.8657301!16s%2Fg%2F11n6yp7kjd!19sChIJ1av0-QRZ4joR-PJeCmAWm4k?authuser=0&hl=en&rclk=1,Wickrama Motors (Pvt) Ltd.,3.7,(13),Auto parts store,239 Panchikawatta Rd,0112 432 748,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyxe1FA6EG4vP_Ia50GFKpyPX71al22D7Kh8LjrLSlZqTBUN8_ItN2-GR5Mu7BQDzPJaLHK_nLJD1q6wgVskKvdi_01BYLM1y5qi9mMRF0oiNWGqZdndozwAZou1HxUOpqCGn2j=w80-h106-k-no,,,
https://www.google.com/maps/place/Yooco+Motors+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae259529adc60ad:0xec442e4a7cdb2725!8m2!3d6.9334749!4d79.8656133!16s%2Fg%2F11v4ly69y6!19sChIJrWDcmlJZ4joRJSfbfEouROw?authuser=0&hl=en&rclk=1,Yooco Motors (Pvt) Ltd,5.0,(2),Construction equipment supplier,"196, 10 Panchikawatta Rd",077 748 0157,https://lh3.googleusercontent.com/p/AF1QipP2QPR3069zdSLC7woCF_SBFxLmUpvk8yT6Me3v=w122-h92-k-no,,,
https://www.google.com/maps/place/Buddhi+Auto+Traders+Pvt+Ltd/data=!4m7!3m6!1s0x3ae259056b319863:0xd35b6133da43ad6e!8m2!3d6.9315726!4d79.8649324!16s%2Fg%2F11cmgdrn7_!19sChIJY5gxawVZ4joRbq1D2jNhW9M?authuser=0&hl=en&rclk=1,Buddhi Auto Traders Pvt Ltd,4.3,(18),Auto parts store,135 Panchikawatta Rd,077 352 4324,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYDPvgRKshorSdGlOa_DnAqDyqrNw3DQg_wc-iguDtGNkTwoFT1iVf_ylsBmiMHtlzkk95OK3kM8ml36H8JHGZxiA1XkBRYmD0UNhpezNT92RDINIkwqLF6COA__RReRRhPOWC=w163-h92-k-no,,,
https://www.google.com/maps/place/Lal+Motor+Stores+%28Pvt%29+Ltd+-+Panchikawatta+Branch/data=!4m7!3m6!1s0x3ae259051b59da8d:0xbfe0046a15801faf!8m2!3d6.9329831!4d79.8654476!16s%2Fg%2F1yg4dgz_z!19sChIJjdpZGwVZ4joRrx-AFWoE4L8?authuser=0&hl=en&rclk=1,Lal Motor Stores (Pvt) Ltd - Panchikawatta Branch,4.4,(27),Construction equipment supplier,·,0112 439 360,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRfc6qHlBRZNwjN-FrEIShRW_jkLbzc5bKiyC8Z2AOXeyCD-WzglkoepCcoPA1ufd_IsSvINJaYYyt6vKFDUKM7BzaPRF6tbYjHnR9wqEiUWZpG2s9vFjMBK-qZ9kUacLf4A=w80-h106-k-no,,,
https://www.google.com/maps/place/Lakshman+Motor+House+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x3ae259000d22aeef:0x27cb920d40c306be!8m2!3d6.9322733!4d79.8650892!16s%2Fg%2F11vxjmmm_l!19sChIJ764iDQBZ4joRvgbDQA2Syyc?authuser=0&hl=en&rclk=1,Lakshman Motor House (Pvt) Ltd,5.0,(2),Auto parts store,173 Panchikawatta Rd,0112 434 671,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ebuzkOfDjnPTk7GMvkWa6g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=275.2686&pitch=0&thumbfov=100,,,
https://www.google.com/maps/place/Dai+Lanka+Auto+Enterprises+Pvt+Ltd/data=!4m7!3m6!1s0x3ae25b262adb68d1:0xb4be72252d57895b!8m2!3d6.8545478!4d79.8917225!16s%2Fg%2F11gxtyyg5g!19sChIJ0WjbKiZb4joRW4lXLSVyvrQ?authuser=0&hl=en&rclk=1,Dai Lanka Auto Enterprises Pvt Ltd,4.2,(71),Auto parts store,"181A, Colombo Road, Pepiliyana Rd",0112 804 202,https://lh3.googleusercontent.com/p/AF1QipMoESCa2FToJRxiR8TXW7_k87DTZUylAvSL8H-F=w122-h92-k-no,,,
https://www.google.com/maps/place/dalnikautoparts/data=!4m7!3m6!1s0x3ae25991bf38269d:0x2ddfe129bf97be91!8m2!3d6.9339675!4d79.8665417!16s%2Fg%2F11jds3bjpc!19sChIJnSY4v5FZ4joRkb6Xvynh3y0?authuser=0&hl=en&rclk=1,dalnikautoparts,5.0,(1),Auto parts store,238/8,077 958 0494,https://lh3.googleusercontent.com/p/AF1QipMmhv47Lce04aB4roQToTjyuaGOpAg8u3CExsFE=w113-h92-k-no,,,
https://www.google.com/maps/place/NI+Motors/data=!4m7!3m6!1s0x3ae2597e83735205:0xd3790b1880625530!8m2!3d6.9302311!4d79.8650868!16s%2Fg%2F11kpsn4s37!19sChIJBVJzg35Z4joRMFVigBgLedM?authuser=0&hl=en&rclk=1,NI Motors,5.0,(6),Auto parts store,32 Panchikawatta Rd,076 551 3054,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnWuAuaGrmPdrXjFMz8vTfGRaUEWN_ABGX5mB0VJTkfbmRNgtjC7IBnrnsDVnWh_zjxselQPy2dcrDnDTj9tx5tXbzAB_RZO2tNE5GHTeUgghYyChXh8znR6XsEj9_Qn8UOnjpbgdcXfeU=w122-h92-k-no,,,
