place_id,name,address,raw_phone,wa_number,website,rating,user_ratings_total,place_types,price_level,scraped_at
ChIJp1dAD49b4joRNpBqZKZ1UL4,Pussalla meat shop,"RVPM+FX8, Dehiwala-Mount Lavinia, Sri Lanka",,,,3.8,8,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJa_9nZABR4joR-V9IEYP3004,Hesara Print shop,"7/26 Kohilakotuwa Road, Maharagama 10280, Sri Lanka",071 575 7705,94715757705,,,,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJcZnUF51R4joR5w58PE4Zbjk,Bauwa shop,"572 Pitakotte - Talawatugoda Rd, Sri Jayawardenepura Kotte, Sri Lanka",075 343 2596,94753432596,,1,8,"pet_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ5YmnIyBb4joRrTjk3mUMbNA,A&A Cafe and Bake Shop,"90/D Sunethradevi Rd, Nugegoda, Sri Lanka",076 411 9907,94764119907,,4.9,12,"cafe, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJC8l_cWNR4joRRtoCQ96JRro,hema clothing shop,"123 B504, Maharagama 10280, Sri Lanka",,,,5,1,"clothing_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJCahNnmta4joRt3l4wKhAnec,Lada Trade Centre,"7, Old Kottawa Rd, Mirihana, Nugegoda (නුගේගොඩ) 10250, Sri Lanka",0112 820 375,,https://lada.lk/,4.2,92,"shopping_mall, furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJx7sv72BR4joRGZcw-T2jCbw,The cake shop,"337 High Level Rd, Pannipitiya 10230, Sri Lanka",,,,3,1,"cafe, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJmc8IQgBb4joR3nPQC1XeS4k,Gamini Aiya's Night Shop,"91c Bellanthara Rd, Dehiwala-Mount Lavinia 10350, Sri Lanka",,,,5,2,"cafe, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJBxSefOJb4joRl6yp1y3TpU8,Priya Pet Shop,"93 A Maharagama road, Bellanthara Rd, Boralesgamuwa, Sri Lanka",077 807 6150,94778076150,,2.8,8,"pet_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJQxdYnHJQ4joRo6Qek1YehC0,Pussalla Meat Shop - Maharagama 02,"B367, Maharagama 10280, Sri Lanka",071 872 5184,94718725184,,4.1,115,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJJQrZKXta4joR4agHoOphoXY,Junction Shop,"VW85+2C6, Nugegoda, Sri Lanka",,,,4.2,11,"clothing_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJLdYtAwVR4joRmSfVIrnr-9U,Sithuwam Camera Shop Maharagama,"Maharagama 10280, Sri Lanka",,,,5,8,"electronics_store, home_goods_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ__9QTq5Q4joRAnRkjm8mF3I,Gadget Shop PVT Ltd,"1031G-1 B47, Sri Jayawardenepura Kotte 10120, Sri Lanka",0112 787 878,,,4.1,485,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJNdKnsIpa4joRNeCT2NF6dHw,NCS online store,"31 Old Kesbewa Rd, Nugegoda 12050, Sri Lanka",077 282 0842,94772820842,http://www.ncs.lk/,4.8,115,"shopping_mall, clothing_store, home_goods_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJo4aTfABb4joR6-itVc-be8Y,Soy Ice cream shop Nugegoda,"VV7X+XVF, Nugegoda, Sri Lanka",,,,5,2,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJLyFlS_Ra4joRntqR91sSRYc,Ranga DVD Shop,"188, Boralesgamuwa, Sri Lanka",075 585 0110,94755850110,,4.3,68,"movie_rental, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJvwLN0vJb4joR1Pov4wrrdZA,Ez Prints Shop,"528 Tewatta Road, Ragama 11010, Sri Lanka",076 430 1566,94764301566,,,,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJFQm1dmpa4joRYXEwBJjeVHM,New Smart Grocery Shop,"Nugegoda, Sri Lanka",,,,5,1,"grocery_or_supermarket, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJtQAszDpa4joRG0CUYivS4mA,Caravan Fresh - The Cake & Pastry Shop,"266 A Nawala Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka",071 870 1688,94718701688,,4.1,181,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJMaWeUURa4joRo95Sx8UfWf8,Sarasavi Book Shop - Nugegoda,"No. 30 Stanley Tilakaratne Mawatha, Nugegoda 10250, Sri Lanka",0112 820 820,,http://www.sarasavi.lk/,4.4,5072,"book_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJF4BDs_Va4joRVhNu-Pe9CnI,Pussalla Meat Shop - Divulapitiya,"VV3V+M86, Nugegoda, Sri Lanka",071 482 9829,94714829829,,4.1,29,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJkfzctCxb4joRK_k1scJbCRA,Online Printing Shop,"122 Wijerama Road, Nugegoda 10250, Sri Lanka",078 900 8821,94789008821,,,,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ_zQILmdR4joRUpLmkBDePUc,"Nature’s Corner, Thalawathugoda - Organic Shop","VWGH+FMF, Ruhunupura, Sri Lanka",0112 076 388,,http://www.naturescorner.lk/,4.4,115,"grocery_or_supermarket, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJjz5fGHVa4joRp8X_8AGCG0U,Ishan Gas Centre Litro Gas Shop,"VWG8+RQ4, Sri Jayawardenepura Kotte, Sri Lanka",077 900 1134,94779001134,,4.9,18,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJFx43z-da4joRaSINhaDyzNw,Five Star Pastry Shop,"RVPM+XV4, B389, Dehiwala-Mount Lavinia, Sri Lanka",0112 733 908,,,3.9,100,"bakery, store, food, point_of_interest, establishment",1,2025-09-28 03:41:21
ChIJFSzyfXBQ4joRR9bbHoOxiX4,Smart Phone Shop (Pvt) Ltd.,"97/c High Level Rd, Maharagama 10230, Sri Lanka",075 233 2333,94752332333,http://www.facebook.com/smartphonelk,4.6,1056,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJc5aT6yZa4joR06QQ8ZddtSk,Suriyage Bike Shop,"555, Sri Jayawardenepura Kotte 10100, Sri Lanka",077 131 2200,94771312200,http://www.suriyage.com/,4.3,247,"bicycle_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
